"Razpoložljivi dohodek gospodinjstev po starosti in spolu (EUR), Slovenija, letno"

"MERITVE";"STAROSTNE SKUPINE";"SPOL";"LETO";"DOHODEK";Razpoložljivi dohodek gospodinjstev (EUR)
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Moški";"2008";"Dohodek po socialnih transferjih";6432
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Moški";"2009";"Dohodek po socialnih transferjih";6795
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Moški";"2010";"Dohodek po socialnih transferjih";6743
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Moški";"2011";"Dohodek po socialnih transferjih";6835
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Moški";"2012";"Dohodek po socialnih transferjih";6971
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Moški";"2013";"Dohodek po socialnih transferjih";6912
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Moški";"2014";"Dohodek po socialnih transferjih";6870
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Moški";"2015";"Dohodek po socialnih transferjih";7202
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Moški";"2016";"Dohodek po socialnih transferjih";7348
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Moški";"2017";"Dohodek po socialnih transferjih";7487
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Moški";"2018";"Dohodek po socialnih transferjih";7770
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Moški";"2019";"Dohodek po socialnih transferjih";8414
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Ženske";"2008";"Dohodek po socialnih transferjih";6214
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Ženske";"2009";"Dohodek po socialnih transferjih";6689
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Ženske";"2010";"Dohodek po socialnih transferjih";6779
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Ženske";"2011";"Dohodek po socialnih transferjih";6858
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Ženske";"2012";"Dohodek po socialnih transferjih";7007
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Ženske";"2013";"Dohodek po socialnih transferjih";6965
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Ženske";"2014";"Dohodek po socialnih transferjih";7064
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Ženske";"2015";"Dohodek po socialnih transferjih";7225
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Ženske";"2016";"Dohodek po socialnih transferjih";7241
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Ženske";"2017";"Dohodek po socialnih transferjih";7315
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Ženske";"2018";"Dohodek po socialnih transferjih";7675
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Ženske";"2019";"Dohodek po socialnih transferjih";8245
"Povpreèni dohodek na èlana gospodinjstva";"Starost 65+";"Moški";"2008";"Dohodek po socialnih transferjih";8277
"Povpreèni dohodek na èlana gospodinjstva";"Starost 65+";"Moški";"2009";"Dohodek po socialnih transferjih";9025
"Povpreèni dohodek na èlana gospodinjstva";"Starost 65+";"Moški";"2010";"Dohodek po socialnih transferjih";9590
"Povpreèni dohodek na èlana gospodinjstva";"Starost 65+";"Moški";"2011";"Dohodek po socialnih transferjih";9811
"Povpreèni dohodek na èlana gospodinjstva";"Starost 65+";"Moški";"2012";"Dohodek po socialnih transferjih";9921
"Povpreèni dohodek na èlana gospodinjstva";"Starost 65+";"Moški";"2013";"Dohodek po socialnih transferjih";9669
"Povpreèni dohodek na èlana gospodinjstva";"Starost 65+";"Moški";"2014";"Dohodek po socialnih transferjih";10092
"Povpreèni dohodek na èlana gospodinjstva";"Starost 65+";"Moški";"2015";"Dohodek po socialnih transferjih";10552
"Povpreèni dohodek na èlana gospodinjstva";"Starost 65+";"Moški";"2016";"Dohodek po socialnih transferjih";10317
"Povpreèni dohodek na èlana gospodinjstva";"Starost 65+";"Moški";"2017";"Dohodek po socialnih transferjih";10311
"Povpreèni dohodek na èlana gospodinjstva";"Starost 65+";"Moški";"2018";"Dohodek po socialnih transferjih";10561
"Povpreèni dohodek na èlana gospodinjstva";"Starost 65+";"Moški";"2019";"Dohodek po socialnih transferjih";10907
"Povpreèni dohodek na èlana gospodinjstva";"Starost 65+";"Ženske";"2008";"Dohodek po socialnih transferjih";7537
"Povpreèni dohodek na èlana gospodinjstva";"Starost 65+";"Ženske";"2009";"Dohodek po socialnih transferjih";8280
"Povpreèni dohodek na èlana gospodinjstva";"Starost 65+";"Ženske";"2010";"Dohodek po socialnih transferjih";8588
"Povpreèni dohodek na èlana gospodinjstva";"Starost 65+";"Ženske";"2011";"Dohodek po socialnih transferjih";8808
"Povpreèni dohodek na èlana gospodinjstva";"Starost 65+";"Ženske";"2012";"Dohodek po socialnih transferjih";9183
"Povpreèni dohodek na èlana gospodinjstva";"Starost 65+";"Ženske";"2013";"Dohodek po socialnih transferjih";8880
"Povpreèni dohodek na èlana gospodinjstva";"Starost 65+";"Ženske";"2014";"Dohodek po socialnih transferjih";9281
"Povpreèni dohodek na èlana gospodinjstva";"Starost 65+";"Ženske";"2015";"Dohodek po socialnih transferjih";9463
